nickname,region,tier,lp,wins,top4,champ_1,games_champ_1,champ_2,games_champ_2,champ_3,games_champ_3,champ_4,games_champ_4,champ_5,games_champ_5
summertimer#JP1,jp,,1911 LP,7,15,엘리스,14.0,암베사,9.0,일라오이,8.0,누누와 윌럼프,8.0,르블랑,6.0
just feel alive#JP1,jp,,1842 LP,7,15,에코,9.0,엘리스,9.0,세비카,6.0,럼블,6.0,제리,5.0
やつはし#JP1,jp,,1710 LP,4,12,일라오이,10.0,럼블,9.0,제이스,7.0,이렐리아,7.0,코르키,6.0
fandel#kahn,jp,,1579 LP,5,18,럼블,11.0,누누와 윌럼프,10.0,신지드,9.0,렐,9.0,레나타 글라스크,9.0
エレミーオの櫛#mori,jp,,1529 LP,5,12,엘리스,12.0,문도 박사,7.0,누누와 윌럼프,7.0,빅토르,6.0,에코,6.0
たろうのTFT大学#ゆにば,jp,,1475 LP,3,11,에코,8.0,트리스타나,7.0,누누와 윌럼프,7.0,갱플랭크,7.0,엘리스,7.0
ぬこ丸#JP1,jp,,1470 LP,6,13,엘리스,9.0,럼블,8.0,르블랑,7.0,렐,7.0,암베사,6.0
HiROKK#0119,jp,,1464 LP,6,13,엘리스,11.0,럼블,9.0,코르키,8.0,에코,8.0,갱플랭크,8.0
Subi#Smoge,jp,,1445 LP,4,17,엘리스,12.0,누누와 윌럼프,9.0,바이,7.0,문도 박사,7.0,제이스,6.0
ティエルノ#JP1,jp,,1432 LP,2,16,갱플랭크,13.0,에코,12.0,엘리스,11.0,럼블,11.0,파우더,9.0
chocotomato#JP1,jp,,1424 LP,8,14,엘리스,8.0,바이,8.0,일라오이,7.0,르블랑,6.0,럼블,6.0
trueskill#JP1,jp,,1408 LP,6,16,럼블,12.0,갱플랭크,11.0,트리스타나,10.0,엘리스,10.0,코르키,9.0
tarakoman#0120,jp,,1397 LP,5,10,엘리스,15.0,트리스타나,7.0,코르키,6.0,누누와 윌럼프,6.0,암베사,5.0
夢見るマンチコア#JP1,jp,,1395 LP,2,11,렐,11.0,누누와 윌럼프,11.0,엘리스,10.0,하이머딩거,9.0,모르가나,9.0
きじちゃん#TFT,jp,,1392 LP,10,18,엘리스,12.0,자이라,11.0,스웨인,9.0,블라디미르,9.0,나미,8.0
mirumirun#JP1,jp,,1391 LP,3,12,엘리스,10.0,로리스,9.0,케이틀린,8.0,럼블,8.0,에코,7.0
Rise8332#JP1,jp,,1364 LP,3,13,엘리스,12.0,트리스타나,11.0,에코,10.0,갱플랭크,10.0,파우더,9.0
ZETA KAITO#716,jp,,1363 LP,6,16,가렌,9.0,암베사,8.0,엘리스,7.0,트리스타나,6.0,블라디미르,6.0
うに軍#JP1,jp,,1343 LP,6,13,엘리스,11.0,코르키,9.0,갱플랭크,7.0,가렌,6.0,누누와 윌럼프,6.0
bachine#JP1,jp,,1335 LP,4,17,엘리스,13.0,제이스,9.0,가렌,6.0,케이틀린,6.0,럼블,6.0
riri#3390,jp,,1334 LP,4,11,일라오이,8.0,제이스,8.0,이렐리아,7.0,엘리스,6.0,징크스,5.0
Coach Me#JP1,jp,,1312 LP,6,14,엘리스,14.0,바이,10.0,암베사,7.0,갱플랭크,7.0,르블랑,7.0
ZETA title#3331,jp,,1308 LP,6,17,코르키,10.0,엘리스,10.0,에코,9.0,이렐리아,9.0,럼블,8.0
Mimosa 7#JP1,jp,,1294 LP,4,12,엘리스,8.0,렐,8.0,누누와 윌럼프,7.0,일라오이,7.0,로리스,6.0
Maii#JP821,jp,,1288 LP,7,13,엘리스,13.0,갱플랭크,10.0,우르곳,9.0,럼블,8.0,에코,7.0
Utilitarian#5963,jp,,1266 LP,3,12,엘리스,13.0,갱플랭크,12.0,럼블,9.0,코르키,8.0,스웨인,8.0
juu#9952,jp,,1263 LP,3,10,엘리스,12.0,가렌,10.0,갱플랭크,7.0,에코,6.0,트리스타나,6.0
ZETA kes#TFT,jp,,1258 LP,4,9,엘리스,13.0,누누와 윌럼프,10.0,제이스,9.0,바이,7.0,갱플랭크,6.0
momoseen#JP1,jp,,1257 LP,3,18,엘리스,12.0,빅토르,9.0,에코,8.0,가렌,8.0,스웨인,7.0
shimapen#tft,jp,,1252 LP,7,14,엘리스,11.0,가렌,7.0,바이,7.0,코르키,6.0,에코,6.0
mikazuk1#JP1,jp,,1191 LP,3,12,워윅,9.0,케이틀린,9.0,럼블,8.0,엘리스,7.0,문도 박사,6.0
aki9284#JP1,jp,,1152 LP,2,14,엘리스,10.0,트리스타나,10.0,코르키,9.0,갱플랭크,9.0,누누와 윌럼프,8.0
ぼくらのよさこい琉球ファイターズ#jinbe,jp,,1146 LP,2,13,에코,10.0,바이,9.0,갱플랭크,9.0,파우더,8.0,코르키,7.0
かにみそ#888,jp,,1146 LP,1,14,엘리스,11.0,가렌,8.0,문도 박사,8.0,아무무,7.0,스카,7.0
m1zono#5140,jp,,1143 LP,3,12,엘리스,12.0,파우더,9.0,에코,9.0,럼블,8.0,바이,8.0
shimapen4#JP1,jp,,1135 LP,3,10,에코,11.0,일라오이,8.0,이렐리아,7.0,엘리스,7.0,로리스,6.0
rin#1859,jp,,1127 LP,6,15,엘리스,11.0,일라오이,9.0,이즈리얼,7.0,문도 박사,7.0,제이스,7.0
ぐんぐん育つ#JP1,jp,,1121 LP,2,15,엘리스,12.0,바이,9.0,로리스,8.0,암베사,8.0,케이틀린,8.0
運ゲーｗ#JP1,jp,,1114 LP,5,12,엘리스,13.0,바이,8.0,문도 박사,6.0,트위치,6.0,빅토르,6.0
チャットオフです#JP1,jp,,1110 LP,7,12,엘리스,15.0,제이스,11.0,빅토르,7.0,럼블,7.0,바이,7.0
あきこだよ#akiko,jp,,1071 LP,6,17,갱플랭크,17.0,엘리스,15.0,럼블,14.0,트런들,12.0,코르키,12.0
高科 奈桜#JP2,jp,,1024 LP,2,12,엘리스,9.0,럼블,9.0,로리스,8.0,암베사,6.0,트위스티드 페이트,6.0
p0wd3r#9414,jp,,1020 LP,4,14,럼블,13.0,엘리스,12.0,제이스,10.0,빅토르,6.0,로리스,6.0
ミドリガメ#JP1,jp,,1009 LP,4,12,갱플랭크,9.0,엘리스,9.0,코르키,8.0,럼블,7.0,트리스타나,7.0
saakiima#JP1,jp,,1009 LP,3,15,엘리스,13.0,갱플랭크,9.0,누누와 윌럼프,8.0,트리스타나,7.0,럼블,6.0
enjiexn#JP1,jp,,994 LP,3,15,엘리스,12.0,갱플랭크,9.0,에코,8.0,제이스,6.0,파우더,6.0
ButeNBelk#0116,jp,,985 LP,1,10,엘리스,10.0,로리스,9.0,코르키,8.0,갱플랭크,8.0,트리스타나,6.0
renkkka#蓮888,jp,,979 LP,4,15,블라디미르,11.0,나미,10.0,르블랑,9.0,엘리스,9.0,암베사,9.0
Toby#4108,jp,,967 LP,1,9,엘리스,11.0,일라오이,8.0,렐,8.0,에코,8.0,누누와 윌럼프,6.0
めんだこ#0101,jp,,948 LP,1,10,일라오이,8.0,엘리스,8.0,럼블,7.0,에코,7.0,파우더,6.0
Ninja of Ninjas#JP1,jp,,1071 LP,4,12,엘리스,12.0,럼블,8.0,갱플랭크,7.0,코르키,7.0,누누와 윌럼프,7.0
マックでDS#1910,jp,,976 LP,4,13,누누와 윌럼프,10.0,자이라,10.0,트리스타나,9.0,갱플랭크,9.0,엘리스,9.0
kohada19#JP1,jp,,969 LP,6,14,코르키,11.0,엘리스,10.0,갱플랭크,10.0,일라오이,8.0,트리스타나,8.0
SpicyCoffee#JP1,jp,,952 LP,2,11,누누와 윌럼프,7.0,럼블,7.0,일라오이,7.0,코르키,7.0,엘리스,6.0
KENDO#JP1,jp,,939 LP,5,16,엘리스,12.0,케이틀린,10.0,제이스,9.0,누누와 윌럼프,9.0,문도 박사,8.0
もりぴー#JP1,jp,,938 LP,4,14,엘리스,11.0,가렌,9.0,누누와 윌럼프,7.0,블라디미르,6.0,스웨인,6.0
eto333#JP1,jp,,908 LP,2,10,가렌,12.0,에코,9.0,스카,8.0,트리스타나,8.0,징크스,7.0
pomicho#6969,jp,,900 LP,4,10,일라오이,8.0,이렐리아,8.0,럼블,8.0,에코,7.0,징크스,6.0
Lepsy#0000,jp,,896 LP,4,9,엘리스,11.0,에코,9.0,갱플랭크,8.0,바이,8.0,파우더,7.0
恋に至る病#8290,jp,,873 LP,2,12,렐,9.0,엘리스,8.0,일라오이,8.0,블라디미르,7.0,가렌,7.0
allestio#JP1,jp,,866 LP,5,8,엘리스,7.0,로리스,6.0,파우더,6.0,갱플랭크,6.0,세비카,6.0
toyolaze#JP2,jp,,865 LP,4,15,에코,11.0,럼블,9.0,가렌,9.0,엘리스,9.0,제이스,7.0
Kanda in bush#JP1,jp,,859 LP,1,12,에코,10.0,가렌,8.0,코르키,7.0,스카,6.0,갱플랭크,6.0
maonn#JP1,jp,,856 LP,3,10,럼블,10.0,코르키,10.0,에코,10.0,엘리스,10.0,갱플랭크,8.0
Ashes of theStar#JP2,jp,,845 LP,4,12,갱플랭크,11.0,엘리스,10.0,암베사,7.0,일라오이,7.0,코르키,7.0
ポッチャマ#Real,jp,,844 LP,1,11,엘리스,11.0,갱플랭크,10.0,바이,9.0,코르키,9.0,럼블,8.0
selfoon#2755,jp,,842 LP,3,12,엘리스,9.0,트리스타나,8.0,누누와 윌럼프,8.0,가렌,7.0,일라오이,7.0
篠原しの#shino,jp,,837 LP,5,16,에코,14.0,엘리스,12.0,파우더,11.0,가렌,11.0,럼블,9.0
kuronagedesu#JP1,jp,,832 LP,1,10,엘리스,9.0,렐,9.0,에코,9.0,일라오이,7.0,럼블,7.0
Laxyua#JP1,jp,,832 LP,2,14,엘리스,10.0,갱플랭크,9.0,코르키,9.0,일라오이,8.0,에코,7.0
undergroundsea#JP1,jp,,827 LP,3,9,엘리스,11.0,트리스타나,6.0,스웨인,5.0,트위스티드 페이트,5.0,로리스,5.0
生茶t#tft,jp,,823 LP,3,12,일라오이,7.0,갱플랭크,6.0,엘리스,6.0,제이스,6.0,누누와 윌럼프,6.0
tatty#2213,jp,,817 LP,5,12,갱플랭크,10.0,누누와 윌럼프,10.0,우르곳,8.0,엘리스,7.0,트리스타나,7.0
インターネット#kirby,jp,,806 LP,4,11,엘리스,9.0,에코,7.0,블라디미르,6.0,일라오이,6.0,갱플랭크,6.0
ふわふわ戦隊もちぐまん#3282,jp,,798 LP,2,14,엘리스,9.0,에코,8.0,코르키,7.0,이즈리얼,7.0,일라오이,7.0
しかめまどか#JP1,jp,,788 LP,3,11,엘리스,13.0,럼블,8.0,일라오이,8.0,에코,7.0,이렐리아,7.0
ゆめの#JP1,jp,,786 LP,1,12,빅토르,7.0,아무무,7.0,가렌,7.0,밴더,6.0,암베사,6.0
sanos#5241,jp,,785 LP,4,9,엘리스,10.0,럼블,10.0,일라오이,9.0,갱플랭크,8.0,코르키,8.0
りくるす#Recls,jp,,783 LP,2,8,에코,8.0,로리스,7.0,일라오이,7.0,렐,7.0,럼블,6.0
Mk110#3030,jp,,760 LP,2,8,갱플랭크,9.0,에코,8.0,트런들,8.0,엘리스,7.0,파우더,7.0
キッキちゃん#JP1,jp,,750 LP,3,9,엘리스,7.0,렐,7.0,일라오이,6.0,갱플랭크,6.0,로리스,6.0
yumeoti#capri,jp,,748 LP,3,6,엘리스,10.0,이렐리아,7.0,일라오이,7.0,제이스,6.0,로리스,6.0
MaE9N#MaE9N,jp,,747 LP,2,10,엘리스,12.0,바이,9.0,케이틀린,8.0,누누와 윌럼프,7.0,문도 박사,6.0
WhoBlie#JP1,jp,,745 LP,3,10,엘리스,11.0,로리스,8.0,럼블,8.0,바이,6.0,암베사,6.0
Winche#9746,jp,,733 LP,3,11,엘리스,11.0,갱플랭크,10.0,바이,9.0,케이틀린,6.0,스텝,6.0
Aichan91#JP1,jp,,723 LP,1,8,엘리스,13.0,갱플랭크,11.0,럼블,10.0,트리스타나,9.0,코르키,7.0
にゃんだ#おすし,jp,,718 LP,2,12,엘리스,14.0,럼블,8.0,제이스,7.0,바이,7.0,로리스,7.0
モヒカンタロウ#JP1,jp,,717 LP,2,14,엘리스,11.0,세비카,7.0,파우더,7.0,문도 박사,7.0,에코,6.0
pano#JP1,jp,,712 LP,3,12,럼블,11.0,에코,11.0,파우더,10.0,갱플랭크,9.0,바이,8.0
neteru#8909,jp,,710 LP,6,10,엘리스,9.0,럼블,7.0,갱플랭크,7.0,에코,7.0,일라오이,6.0
tikpen#JP1,jp,,708 LP,2,13,가렌,10.0,나미,9.0,제이스,8.0,블라디미르,8.0,엘리스,7.0
鳥羽玉#JP1,jp,,707 LP,1,13,엘리스,12.0,누누와 윌럼프,9.0,빅토르,7.0,우르곳,7.0,트리스타나,7.0
hakutou#JP1,jp,,705 LP,7,10,일라오이,9.0,징크스,8.0,에코,8.0,이렐리아,7.0,조이,7.0
sabobbqsauce#JP1,jp,,703 LP,4,14,엘리스,9.0,일라오이,7.0,조이,7.0,문도 박사,7.0,바이,7.0
Kuri#3147,jp,,699 LP,2,12,로리스,8.0,엘리스,8.0,일라오이,7.0,럼블,7.0,스웨인,7.0
Asdgum#JP1,jp,,698 LP,3,10,일라오이,12.0,엘리스,12.0,에코,12.0,파우더,9.0,코르키,9.0
Anemone#2161,jp,,698 LP,5,11,엘리스,12.0,코르키,10.0,트리스타나,10.0,갱플랭크,10.0,에코,8.0
onetin#JP1,jp,,696 LP,4,12,일라오이,14.0,럼블,11.0,이렐리아,8.0,이즈리얼,8.0,코르키,7.0
しおんさん#SAN,jp,,695 LP,6,15,럼블,13.0,일라오이,10.0,코르키,8.0,이렐리아,8.0,암베사,7.0
かをる#かをる,jp,,689 LP,1,12,누누와 윌럼프,12.0,엘리스,11.0,트리스타나,8.0,갱플랭크,7.0,럼블,7.0
タイガー桜井たん#0000,jp,,684 LP,4,12,제이스,10.0,케이틀린,10.0,바이,9.0,엘리스,9.0,럼블,8.0
makobiGTX#1226,jp,,683 LP,4,13,갱플랭크,9.0,럼블,8.0,일라오이,8.0,엘리스,8.0,바이,8.0
Soze#111,jp,,682 LP,3,12,엘리스,12.0,스웨인,9.0,블라디미르,9.0,나미,8.0,르블랑,7.0
tapi#7176,jp,,677 LP,2,11,엘리스,12.0,파우더,8.0,에코,8.0,블라디미르,7.0,일라오이,7.0
Arch#syy,jp,,658 LP,4,10,에코,12.0,파우더,12.0,갱플랭크,11.0,코르키,10.0,바이,10.0
ろろりろ#JP1,jp,,653 LP,4,10,엘리스,10.0,문도 박사,8.0,바이,6.0,우르곳,6.0,누누와 윌럼프,6.0
Cresselia123#JP1,jp,,650 LP,4,10,엘리스,15.0,갱플랭크,8.0,트리스타나,7.0,누누와 윌럼프,7.0,자이라,7.0
monoboo218#JP1,jp,,641 LP,6,12,에코,15.0,파우더,14.0,갱플랭크,14.0,코르키,14.0,럼블,12.0
ainame#JP1,jp,,629 LP,5,14,럼블,12.0,엘리스,10.0,일라오이,7.0,렐,7.0,에코,7.0
takurou#JG95,jp,,625 LP,4,11,엘리스,7.0,럼블,7.0,암베사,7.0,렐,7.0,제이스,6.0
Eulaaaa#JP1,jp,,625 LP,3,7,엘리스,8.0,제리,7.0,암베사,7.0,이렐리아,7.0,일라오이,6.0
1vsAll#009,jp,,624 LP,4,13,이즈리얼,8.0,누누와 윌럼프,8.0,코르키,8.0,엘리스,8.0,일라오이,8.0
Aurorastar#JP1,jp,,620 LP,1,11,가렌,9.0,코르키,9.0,일라오이,8.0,제이스,8.0,엘리스,7.0
LostFish#9823,jp,,616 LP,2,12,렐,9.0,레오나,8.0,이즈리얼,8.0,하이머딩거,8.0,제이스,8.0
Arase7#JP1,jp,,616 LP,1,10,엘리스,10.0,누누와 윌럼프,9.0,일라오이,8.0,럼블,8.0,문도 박사,7.0
Firis Mistlud#A18,jp,,616 LP,0,6,엘리스,9.0,럼블,8.0,일라오이,8.0,이즈리얼,7.0,이렐리아,7.0
sobakotu#JP1,jp,,615 LP,2,12,에코,12.0,엘리스,12.0,코르키,10.0,럼블,8.0,갱플랭크,8.0
gom#111,jp,,612 LP,3,13,가렌,8.0,엘리스,6.0,레니,6.0,에코,6.0,스카,6.0
rnxo#JP1,jp,,610 LP,0,9,엘리스,14.0,럼블,9.0,갱플랭크,8.0,에코,8.0,로리스,7.0
アゲアゲドラゴン#JP2,jp,,605 LP,8,15,엘리스,10.0,파우더,9.0,에코,9.0,누누와 윌럼프,7.0,바이,7.0
白川竜也#jp2,jp,,604 LP,2,10,엘리스,11.0,스웨인,8.0,갱플랭크,7.0,나미,6.0,조이,6.0
shiro#989,jp,,601 LP,3,10,엘리스,15.0,블라디미르,10.0,가렌,10.0,에코,8.0,르블랑,8.0
akarif#JP1,jp,,581 LP,2,9,엘리스,14.0,럼블,9.0,갱플랭크,9.0,코르키,8.0,트리스타나,7.0
Ech0es#5481,jp,,581 LP,2,7,암베사,9.0,코르키,7.0,파우더,6.0,에코,6.0,일라오이,6.0
eibon#3587,jp,,579 LP,3,13,엘리스,13.0,럼블,8.0,제이스,8.0,에코,7.0,일라오이,7.0
samonaaa#JP1,jp,,573 LP,3,9,엘리스,12.0,암베사,9.0,가렌,9.0,트리스타나,8.0,일라오이,7.0
rrrukasky#JP1,jp,,570 LP,2,11,트리스타나,16.0,스웨인,14.0,엘리스,14.0,블라디미르,10.0,나미,10.0
coyote#2181,jp,,570 LP,2,7,엘리스,10.0,우르곳,7.0,에코,7.0,바이,6.0,일라오이,6.0
ダンベル#777,jp,,567 LP,5,12,렐,11.0,일라오이,10.0,엘리스,8.0,하이머딩거,7.0,이즈리얼,7.0
kimyoon#JP1,jp,,564 LP,3,15,이렐리아,10.0,일라오이,10.0,럼블,8.0,렐,8.0,신지드,6.0
minato773#JP1,jp,,564 LP,4,11,엘리스,9.0,모데카이저,8.0,에코,7.0,문도 박사,7.0,로리스,6.0
Roxinant#000,jp,,551 LP,3,8,엘리스,13.0,누누와 윌럼프,12.0,우르곳,10.0,자이라,9.0,코르키,8.0
task#JP1,jp,,549 LP,2,7,갱플랭크,10.0,엘리스,10.0,코르키,9.0,로리스,8.0,누누와 윌럼프,7.0
Kyoppee#JP1,jp,,538 LP,3,10,엘리스,13.0,누누와 윌럼프,10.0,우르곳,8.0,트리스타나,8.0,갱플랭크,8.0
koaji#JP1,jp,,538 LP,1,13,일라오이,9.0,우르곳,7.0,엘리스,6.0,제이스,6.0,로리스,6.0
おれんじです#orang,jp,,537 LP,0,8,엘리스,8.0,갱플랭크,8.0,코르키,8.0,파우더,8.0,바이,7.0
ゲリラ豪雨#JP1,jp,,537 LP,4,12,엘리스,12.0,럼블,10.0,에코,8.0,파우더,7.0,트런들,6.0
m1kan#oic,jp,,536 LP,1,12,엘리스,10.0,일라오이,7.0,럼블,6.0,바이,6.0,파우더,6.0
pppppppp#aaa,jp,,536 LP,0,11,엘리스,11.0,코르키,11.0,문도 박사,8.0,럼블,7.0,갱플랭크,7.0
yumeyume#JP1,jp,,533 LP,1,14,파우더,9.0,가렌,9.0,에코,9.0,엘리스,8.0,코르키,6.0
ryu3510#JP1,jp,,532 LP,6,14,엘리스,9.0,블라디미르,8.0,렐,8.0,일라오이,8.0,빅토르,7.0
kenana#777,jp,,532 LP,3,7,엘리스,9.0,우르곳,7.0,갱플랭크,7.0,누누와 윌럼프,6.0,코르키,6.0
Sol tft#000,jp,,493 LP,2,8,렐,8.0,에코,8.0,로리스,7.0,파우더,7.0,갱플랭크,7.0
reni#noob4,jp,,485 LP,1,7,엘리스,12.0,갱플랭크,8.0,파우더,7.0,블라디미르,6.0,르블랑,6.0
tri#218,jp,,480 LP,3,8,엘리스,8.0,가렌,7.0,럼블,6.0,자이라,5.0,갱플랭크,5.0
ちんもくはる#JP1,jp,,470 LP,5,9,엘리스,10.0,코르키,10.0,갱플랭크,9.0,에코,8.0,트리스타나,6.0
Avidare#Avi,jp,,459 LP,1,10,엘리스,12.0,렐,9.0,누누와 윌럼프,8.0,갱플랭크,7.0,럼블,7.0
エンジェルローズ#めぐる,jp,,446 LP,5,10,엘리스,11.0,일라오이,7.0,스웨인,6.0,럼블,6.0,제이스,6.0
HAJIMEfug#JP1,jp,,429 LP,3,10,엘리스,12.0,갱플랭크,8.0,누누와 윌럼프,7.0,자이라,7.0,코르키,7.0
tomonar1#JP1,jp,,414 LP,2,8,코르키,10.0,바이,9.0,우르곳,9.0,에코,9.0,엘리스,8.0
Wagasode#1796,jp,,686 LP,4,16,에코,19.0,코르키,17.0,엘리스,16.0,파우더,14.0,갱플랭크,14.0
Liszt#JP1,jp,,606 LP,2,13,에코,13.0,럼블,10.0,엘리스,9.0,파우더,9.0,코르키,8.0
ToySchory#JP1,jp,,576 LP,3,14,엘리스,11.0,코르키,7.0,제이스,7.0,일라오이,7.0,이즈리얼,6.0
natsuko#1774,jp,,566 LP,2,9,럼블,6.0,로리스,6.0,엘리스,6.0,이렐리아,5.0,일라오이,5.0
ふぇいくぁ#JP1,jp,,566 LP,4,11,엘리스,11.0,나미,7.0,스웨인,7.0,조이,6.0,블라디미르,6.0
SHiRoxK Twitch#0909,jp,,562 LP,3,11,엘리스,14.0,에코,9.0,갱플랭크,9.0,트리스타나,8.0,코르키,7.0
鷲羽山ハイランド#1971,jp,,561 LP,3,12,엘리스,13.0,에코,9.0,코르키,9.0,파우더,8.0,가렌,7.0
オブザーブ次郎#JP1,jp,,559 LP,4,12,엘리스,11.0,럼블,10.0,바이,10.0,로리스,9.0,갱플랭크,9.0
Roo#ooR,jp,,547 LP,2,12,엘리스,13.0,파우더,11.0,에코,11.0,코르키,11.0,갱플랭크,11.0
deeex#JP1,jp,,546 LP,3,11,엘리스,11.0,에코,10.0,르블랑,9.0,멜,7.0,조이,7.0
飯島ゆん#5655,jp,,540 LP,4,13,엘리스,11.0,바이,9.0,코르키,8.0,갱플랭크,7.0,제이스,7.0
Ar9uR#rrrr,jp,,540 LP,2,11,엘리스,11.0,누누와 윌럼프,8.0,문도 박사,7.0,바이,6.0,케이틀린,6.0
ぱなっぷ#アスゲ,jp,,539 LP,3,13,일라오이,9.0,로리스,9.0,바이,7.0,엘리스,7.0,렐,7.0
barobarobaro#JP1,jp,,539 LP,3,14,엘리스,9.0,문도 박사,9.0,케이틀린,6.0,르블랑,6.0,암베사,6.0
chaimy24#3109,jp,,533 LP,1,14,제이스,8.0,렐,8.0,암베사,8.0,럼블,7.0,가렌,7.0
TooBigYantama#9343,jp,,523 LP,5,13,일라오이,9.0,이렐리아,8.0,트리스타나,8.0,엘리스,8.0,코르키,7.0
shuchaka#凡人故孤独,jp,,520 LP,6,11,엘리스,12.0,암베사,9.0,빅토르,8.0,가렌,7.0,누누와 윌럼프,7.0
tokkun0702#9837,jp,,514 LP,4,13,엘리스,13.0,바이,8.0,트위치,6.0,제이스,6.0,누누와 윌럼프,6.0
lemure#JP1,jp,,513 LP,2,10,엘리스,9.0,일라오이,9.0,이렐리아,8.0,렐,6.0,이즈리얼,5.0
nanoha hina#JP1,jp,,512 LP,4,15,엘리스,11.0,에코,10.0,일라오이,10.0,이렐리아,9.0,바이,6.0
coloshiya#1110,jp,,511 LP,5,10,스웨인,15.0,나미,14.0,조이,12.0,엘리스,12.0,블라디미르,12.0
karakuti#JP1,jp,,508 LP,1,8,엘리스,10.0,일라오이,8.0,갱플랭크,8.0,렐,7.0,우르곳,7.0
nentou#JP1,jp,,508 LP,2,13,일라오이,10.0,엘리스,9.0,렐,9.0,레오나,7.0,이렐리아,7.0
ガリオTHEゲーム#2401,jp,,508 LP,4,10,엘리스,10.0,로리스,9.0,파우더,8.0,에코,8.0,럼블,8.0
hakaginanasi#aaa,jp,,505 LP,1,10,갱플랭크,8.0,엘리스,8.0,문도 박사,8.0,이즈리얼,6.0,트위치,6.0
ここきん#JP1,jp,,502 LP,2,12,엘리스,9.0,블라디미르,8.0,가렌,8.0,제이스,6.0,자이라,6.0
soooar#JP1,jp,,501 LP,2,10,일라오이,11.0,럼블,10.0,이렐리아,9.0,렐,7.0,엘리스,7.0
Yamako#JP1,jp,,499 LP,2,10,일라오이,9.0,갱플랭크,8.0,로리스,8.0,렐,7.0,에코,7.0
春日野穹#sola,jp,,496 LP,1,8,갱플랭크,8.0,일라오이,8.0,럼블,8.0,제이스,7.0,암베사,7.0
Itoen#JP1,jp,,496 LP,2,14,엘리스,10.0,이즈리얼,10.0,일라오이,9.0,이렐리아,8.0,럭스,6.0
bakuong#3242,jp,,487 LP,2,12,엘리스,12.0,누누와 윌럼프,9.0,갱플랭크,8.0,에코,7.0,바이,7.0
watari4game#8027,jp,,487 LP,2,11,럼블,12.0,엘리스,11.0,에코,10.0,파우더,8.0,트런들,8.0
ぼくのひのなのにーーー#hino,jp,,487 LP,3,11,엘리스,10.0,트리스타나,8.0,일라오이,7.0,갱플랭크,7.0,코르키,7.0
ごまたかな#JP1,jp,,481 LP,0,9,엘리스,10.0,가렌,9.0,블라디미르,6.0,갱플랭크,6.0,트리스타나,6.0
Shiras#SSR,jp,,472 LP,9,16,엘리스,14.0,갱플랭크,9.0,럼블,8.0,가렌,8.0,렐,8.0
蕃茄兄弟#6326,jp,,471 LP,4,10,엘리스,12.0,이즈리얼,8.0,세트,8.0,이렐리아,7.0,일라오이,7.0
ねコらない#JP1,jp,,471 LP,3,12,엘리스,11.0,갱플랭크,9.0,코르키,9.0,트리스타나,8.0,이즈리얼,7.0
GOROGOA#JP1,jp,,468 LP,5,15,르블랑,14.0,모르가나,12.0,엘리스,12.0,조이,9.0,블라디미르,9.0
Gator#JP1,jp,,463 LP,1,7,제이스,7.0,엘리스,7.0,바이,6.0,렐,5.0,에코,5.0
姬逸渢#88888,jp,,463 LP,2,9,럼블,9.0,가렌,8.0,렐,8.0,로리스,7.0,블라디미르,7.0
Mera#JP1,jp,,459 LP,4,9,엘리스,14.0,갱플랭크,11.0,바이,9.0,로리스,8.0,누누와 윌럼프,6.0
ーｌｗｌー#JP1,jp,,459 LP,1,12,코르키,14.0,갱플랭크,12.0,에코,11.0,럼블,10.0,파우더,8.0
Asuka#jinx2,jp,,457 LP,4,13,엘리스,11.0,제이스,9.0,암베사,8.0,가렌,7.0,르블랑,6.0
tary#JP1,jp,,456 LP,4,11,엘리스,8.0,바이,8.0,코르키,8.0,제이스,7.0,갱플랭크,7.0
reeded#5297,jp,,451 LP,5,11,일라오이,13.0,렐,10.0,이렐리아,9.0,럼블,8.0,누누와 윌럼프,7.0
デストロイマハチャンズJr#6797,jp,,444 LP,2,13,엘리스,10.0,누누와 윌럼프,8.0,갱플랭크,7.0,코르키,7.0,트리스타나,6.0
vault39#JP1,jp,,442 LP,6,12,카밀,7.0,에코,7.0,엘리스,7.0,케이틀린,6.0,워윅,6.0
waranashi#3756,jp,,441 LP,4,14,누누와 윌럼프,9.0,엘리스,8.0,암베사,7.0,멜,6.0,케이틀린,6.0
pepepepepeto#JP1,jp,,440 LP,4,13,엘리스,9.0,렐,9.0,바이,9.0,일라오이,7.0,로리스,7.0
lala#7267,jp,,440 LP,4,10,엘리스,10.0,누누와 윌럼프,7.0,럼블,7.0,에코,7.0,코르키,6.0
はげ太郎#JP1,jp,,439 LP,2,15,엘리스,9.0,스웨인,7.0,가렌,6.0,블라디미르,6.0,나미,6.0
Haine#xxx,jp,,436 LP,0,15,엘리스,12.0,누누와 윌럼프,11.0,갱플랭크,10.0,세트,8.0,문도 박사,8.0
100gぱんちゃー#5745,jp,,434 LP,5,11,엘리스,10.0,로리스,7.0,일라오이,7.0,에코,6.0,럼블,6.0
芳村愛支#4869,jp,,434 LP,1,12,엘리스,10.0,코르키,9.0,일라오이,7.0,럼블,7.0,트리스타나,7.0
MOROMOTO#JP1,jp,,433 LP,1,13,엘리스,9.0,일라오이,8.0,렐,8.0,로리스,6.0,이렐리아,6.0
